temp: 16.16C 	 humi: 69.08% 	 co2: 749 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.77Pa 	 gasRes: None Ohm 	 outside temp: 5.59 C
temp: 16.16C 	 humi: 69.721% 	 co2: 733 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.83Pa 	 gasRes: None Ohm 	 outside temp: 5.59 C
temp: 16.13C 	 humi: 70.191% 	 co2: 716 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.88Pa 	 gasRes: None Ohm 	 outside temp: 5.56 C
temp: 16.11C 	 humi: 70.473% 	 co2: 702 	 pm25: -1.0 	 pm100: -1.0 	 press: 1011.96Pa 	 gasRes: None Ohm 	 outside temp: 5.51 C
temp: 16.08C 	 humi: 70.59% 	 co2: 696 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.0Pa 	 gasRes: None Ohm 	 outside temp: 5.41 C
temp: 16.05C 	 humi: 70.88% 	 co2: 684 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.06Pa 	 gasRes: None Ohm 	 outside temp: 5.41 C
temp: 16.02C 	 humi: 70.909% 	 co2: 674 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.08Pa 	 gasRes: None Ohm 	 outside temp: 5.41 C
temp: 15.99C 	 humi: 71.075% 	 co2: 671 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.16Pa 	 gasRes: None Ohm 	 outside temp: 5.41 C
temp: 15.96C 	 humi: 71.035% 	 co2: 666 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.18Pa 	 gasRes: None Ohm 	 outside temp: 5.37 C
temp: 15.94C 	 humi: 71.121% 	 co2: 647 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.24Pa 	 gasRes: None Ohm 	 outside temp: 5.36 C
temp: 15.92C 	 humi: 70.598% 	 co2: 647 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.28Pa 	 gasRes: None Ohm 	 outside temp: 5.5 C
temp: 15.9C 	 humi: 70.746% 	 co2: 647 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.32Pa 	 gasRes: None Ohm 	 outside temp: 5.5 C
temp: 15.89C 	 humi: 70.869% 	 co2: 644 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.35Pa 	 gasRes: None Ohm 	 outside temp: 5.5 C
temp: 15.87C 	 humi: 70.71% 	 co2: 641 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.39Pa 	 gasRes: None Ohm 	 outside temp: 5.5 C
